id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,garis_kemiskinan_perkapita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,359787,RUPIAH,2018
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,302213,RUPIAH,2018
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,340882,RUPIAH,2018
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,334929,RUPIAH,2018
5,32,JAWA BARAT,3205,KABUPATEN GARUT,282683,RUPIAH,2018
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,306759,RUPIAH,2018
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,357382,RUPIAH,2018
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,332483,RUPIAH,2018
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,370747,RUPIAH,2018
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,440776,RUPIAH,2018
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,334743,RUPIAH,2018
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,447378,RUPIAH,2018
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,331557,RUPIAH,2018
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,352061,RUPIAH,2018
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,433972,RUPIAH,2018
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,463507,RUPIAH,2018
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,329415,RUPIAH,2018
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,360960,RUPIAH,2018
19,32,JAWA BARAT,3271,KOTA BOGOR,480749,RUPIAH,2018
20,32,JAWA BARAT,3272,KOTA SUKABUMI,497995,RUPIAH,2018
21,32,JAWA BARAT,3273,KOTA BANDUNG,448902,RUPIAH,2018
22,32,JAWA BARAT,3274,KOTA CIREBON,426738,RUPIAH,2018
23,32,JAWA BARAT,3275,KOTA BEKASI,582723,RUPIAH,2018
24,32,JAWA BARAT,3276,KOTA DEPOK,615255,RUPIAH,2018
25,32,JAWA BARAT,3277,KOTA CIMAHI,462969,RUPIAH,2018
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,447008,RUPIAH,2018
27,32,JAWA BARAT,3279,KOTA BANJAR,324958,RUPIAH,2018
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,373799,RUPIAH,2019
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,309676,RUPIAH,2019
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,350760,RUPIAH,2019
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,345177,RUPIAH,2019
32,32,JAWA BARAT,3205,KABUPATEN GARUT,301202,RUPIAH,2019
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,311848,RUPIAH,2019
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,363750,RUPIAH,2019
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,340775,RUPIAH,2019
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,381372,RUPIAH,2019
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,445184,RUPIAH,2019
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,342073,RUPIAH,2019
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,458240,RUPIAH,2019
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,339607,RUPIAH,2019
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,367273,RUPIAH,2019
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,440347,RUPIAH,2019
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,481732,RUPIAH,2019
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,341307,RUPIAH,2019
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,367748,RUPIAH,2019
46,32,JAWA BARAT,3271,KOTA BOGOR,513343,RUPIAH,2019
47,32,JAWA BARAT,3272,KOTA SUKABUMI,520742,RUPIAH,2019
48,32,JAWA BARAT,3273,KOTA BANDUNG,474448,RUPIAH,2019
49,32,JAWA BARAT,3274,KOTA CIREBON,444574,RUPIAH,2019
50,32,JAWA BARAT,3275,KOTA BEKASI,617718,RUPIAH,2019
51,32,JAWA BARAT,3276,KOTA DEPOK,644860,RUPIAH,2019
52,32,JAWA BARAT,3277,KOTA CIMAHI,484804,RUPIAH,2019
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,457899,RUPIAH,2019
54,32,JAWA BARAT,3279,KOTA BANJAR,334590,RUPIAH,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,402877,RUPIAH,2020
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,328284,RUPIAH,2020
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,371699,RUPIAH,2020
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,367403,RUPIAH,2020
59,32,JAWA BARAT,3205,KABUPATEN GARUT,310437,RUPIAH,2020
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,323880,RUPIAH,2020
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,378108,RUPIAH,2020
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,352358,RUPIAH,2020
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,393452,RUPIAH,2020
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,453201,RUPIAH,2020
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,353092,RUPIAH,2020
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,474807,RUPIAH,2020
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,351885,RUPIAH,2020
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,378287,RUPIAH,2020
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,466152,RUPIAH,2020
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,518667,RUPIAH,2020
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,362212,RUPIAH,2020
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,382264,RUPIAH,2020
73,32,JAWA BARAT,3271,KOTA BOGOR,547399,RUPIAH,2020
74,32,JAWA BARAT,3272,KOTA SUKABUMI,547415,RUPIAH,2020
75,32,JAWA BARAT,3273,KOTA BANDUNG,500452,RUPIAH,2020
76,32,JAWA BARAT,3274,KOTA CIREBON,457954,RUPIAH,2020
77,32,JAWA BARAT,3275,KOTA BEKASI,657953,RUPIAH,2020
78,32,JAWA BARAT,3276,KOTA DEPOK,688194,RUPIAH,2020
79,32,JAWA BARAT,3277,KOTA CIMAHI,511375,RUPIAH,2020
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,470150,RUPIAH,2020
81,32,JAWA BARAT,3279,KOTA BANJAR,344363,RUPIAH,2020
