id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1930902,JIWA,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1826962,JIWA,2013
3,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1258939,JIWA,2013
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1171101,JIWA,2013
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1154944,JIWA,2013
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,1055216,JIWA,2013
7,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1790645,JIWA,2013
8,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1685775,JIWA,2013
9,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1122030,JIWA,2013
10,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,1055317,JIWA,2013
11,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,834393,JIWA,2013
12,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,803120,JIWA,2013
13,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,803544,JIWA,2013
14,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,793016,JIWA,2013
15,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,568380,JIWA,2013
16,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,542244,JIWA,2013
17,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,1060272,JIWA,2013
18,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,989963,JIWA,2013
19,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,629953,JIWA,2013
20,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,606434,JIWA,2013
21,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,559450,JIWA,2013
22,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,538975,JIWA,2013
23,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,926287,JIWA,2013
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,897556,JIWA,2013
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,781310,JIWA,2013
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,754206,JIWA,2013
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,431117,JIWA,2013
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,413385,JIWA,2013
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,970150,JIWA,2013
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,919518,JIWA,2013
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,1261226,JIWA,2013
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,1220140,JIWA,2013
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,797826,JIWA,2013
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,746518,JIWA,2013
35,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,499425,JIWA,2013
36,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,478621,JIWA,2013
37,32,JAWA BARAT,3271,KOTA CIMAHI,LAKI-LAKI,346448,JIWA,2013
38,32,JAWA BARAT,3271,KOTA CIMAHI,PEREMPUAN,330431,JIWA,2013
39,32,JAWA BARAT,3272,KOTA TASIKMALAYA,LAKI-LAKI,94416,JIWA,2013
40,32,JAWA BARAT,3272,KOTA TASIKMALAYA,PEREMPUAN,92767,JIWA,2013
41,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,159854,JIWA,2013
42,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,156021,JIWA,2013
43,32,JAWA BARAT,3274,KOTA DEPOK,LAKI-LAKI,260990,JIWA,2013
44,32,JAWA BARAT,3274,KOTA DEPOK,PEREMPUAN,250930,JIWA,2013
45,32,JAWA BARAT,3275,KOTA BOGOR,LAKI-LAKI,162301,JIWA,2013
46,32,JAWA BARAT,3275,KOTA BOGOR,PEREMPUAN,157271,JIWA,2013
47,32,JAWA BARAT,3276,KOTA SUKABUMI,LAKI-LAKI,1180792,JIWA,2013
48,32,JAWA BARAT,3276,KOTA SUKABUMI,PEREMPUAN,1151661,JIWA,2013
49,32,JAWA BARAT,3277,KOTA CIREBON,LAKI-LAKI,1213738,JIWA,2013
50,32,JAWA BARAT,3277,KOTA CIREBON,PEREMPUAN,1156957,JIWA,2013
51,32,JAWA BARAT,3279,KOTA BEKASI,LAKI-LAKI,827580,JIWA,2013
52,32,JAWA BARAT,3279,KOTA BEKASI,PEREMPUAN,802467,JIWA,2013
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1976622,JIWA,2014
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1851087,JIWA,2014
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,1268060,JIWA,2014
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,1170329,JIWA,2014
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,1159121,JIWA,2014
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,1056729,JIWA,2014
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,1810434,JIWA,2014
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,1681922,JIWA,2014
61,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,1135916,JIWA,2014
