id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk_miskin,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,451.3,RIBU JIWA,2002
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,362.2,RIBU JIWA,2002
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,368.6,RIBU JIWA,2002
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,543.3,RIBU JIWA,2002
5,32,JAWA BARAT,3205,KABUPATEN GARUT,323.7,RIBU JIWA,2002
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,341.1,RIBU JIWA,2002
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,265.8,RIBU JIWA,2002
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,203.3,RIBU JIWA,2002
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,388.4,RIBU JIWA,2002
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,214.3,RIBU JIWA,2002
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,142.8,RIBU JIWA,2002
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,300.4,RIBU JIWA,2002
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,224.3,RIBU JIWA,2002
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,101.4,RIBU JIWA,2002
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,267.4,RIBU JIWA,2002
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,118.2,RIBU JIWA,2002
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,RIBU JIWA,2002
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2002
19,32,JAWA BARAT,3271,KOTA BOGOR,65.4,RIBU JIWA,2002
20,32,JAWA BARAT,3272,KOTA SUKABUMI,21.7,RIBU JIWA,2002
21,32,JAWA BARAT,3273,KOTA BANDUNG,75.3,RIBU JIWA,2002
22,32,JAWA BARAT,3274,KOTA CIREBON,24.7,RIBU JIWA,2002
23,32,JAWA BARAT,3275,KOTA BEKASI,66.2,RIBU JIWA,2002
24,32,JAWA BARAT,3276,KOTA DEPOK,68.5,RIBU JIWA,2002
25,32,JAWA BARAT,3277,KOTA CIMAHI,0.0,RIBU JIWA,2002
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0.0,RIBU JIWA,2002
27,32,JAWA BARAT,3279,KOTA BANJAR,0.0,RIBU JIWA,2002
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,476.4,RIBU JIWA,2003
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,353.9,RIBU JIWA,2003
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,388.8,RIBU JIWA,2003
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,515.5,RIBU JIWA,2003
32,32,JAWA BARAT,3205,KABUPATEN GARUT,338.7,RIBU JIWA,2003
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,285.7,RIBU JIWA,2003
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,228.1,RIBU JIWA,2003
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,201.7,RIBU JIWA,2003
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,352.4,RIBU JIWA,2003
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,203.7,RIBU JIWA,2003
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,130.1,RIBU JIWA,2003
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,288.6,RIBU JIWA,2003
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,220.4,RIBU JIWA,2003
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,97.6,RIBU JIWA,2003
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,256.0,RIBU JIWA,2003
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,127.5,RIBU JIWA,2003
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0.0,RIBU JIWA,2003
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0.0,RIBU JIWA,2003
