id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pengeluaran_per_kapita,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,8951.96,RIBU RUPIAH,2010
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7658.57,RIBU RUPIAH,2010
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6430.92,RIBU RUPIAH,2010
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8740.07,RIBU RUPIAH,2010
5,32,JAWA BARAT,3205,KABUPATEN GARUT,6149.57,RIBU RUPIAH,2010
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6620.25,RIBU RUPIAH,2010
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7887.57,RIBU RUPIAH,2010
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8205.41,RIBU RUPIAH,2010
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,8866.25,RIBU RUPIAH,2010
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7918.34,RIBU RUPIAH,2010
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8598.41,RIBU RUPIAH,2010
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8298.87,RIBU RUPIAH,2010
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,8973.49,RIBU RUPIAH,2010
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9684.48,RIBU RUPIAH,2010
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9441.37,RIBU RUPIAH,2010
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,9880.93,RIBU RUPIAH,2010
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6702.17,RIBU RUPIAH,2010
18,32,JAWA BARAT,3271,KOTA BOGOR,10147.93,RIBU RUPIAH,2010
19,32,JAWA BARAT,3272,KOTA SUKABUMI,9294.11,RIBU RUPIAH,2010
20,32,JAWA BARAT,3273,KOTA BANDUNG,14628.63,RIBU RUPIAH,2010
21,32,JAWA BARAT,3274,KOTA CIREBON,10285.09,RIBU RUPIAH,2010
22,32,JAWA BARAT,3275,KOTA BEKASI,14163.91,RIBU RUPIAH,2010
23,32,JAWA BARAT,3276,KOTA DEPOK,13747.59,RIBU RUPIAH,2010
24,32,JAWA BARAT,3277,KOTA CIMAHI,10363.93,RIBU RUPIAH,2010
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7827.7,RIBU RUPIAH,2010
26,32,JAWA BARAT,3279,KOTA BANJAR,9051.3,RIBU RUPIAH,2010
27,32,JAWA BARAT,3201,KABUPATEN BOGOR,8960.07,RIBU RUPIAH,2011
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,7683.98,RIBU RUPIAH,2011
29,32,JAWA BARAT,3203,KABUPATEN CIANJUR,6495.68,RIBU RUPIAH,2011
30,32,JAWA BARAT,3204,KABUPATEN BANDUNG,8797.01,RIBU RUPIAH,2011
31,32,JAWA BARAT,3205,KABUPATEN GARUT,6195.46,RIBU RUPIAH,2011
32,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6663.99,RIBU RUPIAH,2011
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,7951.48,RIBU RUPIAH,2011
34,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,8231.37,RIBU RUPIAH,2011
35,32,JAWA BARAT,3209,KABUPATEN CIREBON,8889.96,RIBU RUPIAH,2011
36,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7987.42,RIBU RUPIAH,2011
37,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8652.78,RIBU RUPIAH,2011
38,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8355.61,RIBU RUPIAH,2011
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,9048.46,RIBU RUPIAH,2011
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,10110.61,RIBU RUPIAH,2011
41,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9524.89,RIBU RUPIAH,2011
42,32,JAWA BARAT,3216,KABUPATEN BEKASI,9945.54,RIBU RUPIAH,2011
43,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6788.49,RIBU RUPIAH,2011
